_id,days,destinations,imageLink,nights,price,titleLink,titleText
64142462f09e1d8dbe995afb,4,Munnar (2N) - Thekkady (1N) - Alleppey (1N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1461132516/Alleppey_Weather2.jpg,5,10999,https://packages.yatra.com/holidays/dom/details.htm?packageId=1378706229&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,4 nights -Munnar-Thekkady-Alleppey
64142462f09e1d8dbe995afc,2,Katra (2N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1505388578/Vaishno_Devi_Mandir2.jpg,3,3999,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-145-23922&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Vaishno Devi Darshan
64142462f09e1d8dbe995afd,3,Kathmandu (3N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1438930450/Kathmandu.jpg,4,7999,https://packages.yatra.com/holidays/dom/details.htm?packageId=2527375292&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,3 Nights in Kathmandu with Amadablam Hotel
64142462f09e1d8dbe995afe,4,Manali (4N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1438071942/Shimla_91.jpg,5,4999,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-1791-37527&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Mesmerising Manali With Atal Tunnel
64142462f09e1d8dbe995aff,4,Delhi (1N) - Manali (3N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1461309470/Hampta_Pass4.jpg,5,8599,https://packages.yatra.com/holidays/dom/details.htm?packageId=2315650564&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,"Apple Bud Hotel, Manali - Volvo Package"
64142462f09e1d8dbe995b00,4,Dehradun (4N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v7442893352/MarketPlaceHolidays/India/Uttarakhand/Dehradun/kedarkantha_4__7WHipx.jpg,5,4999,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-1560-37089&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Kedarkantha Trek Uttarakhand
64142462f09e1d8dbe995b01,4,Delhi (1N) - Manali (3N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1438851617/Manali_DSC_4465.jpg,5,8999,https://packages.yatra.com/holidays/dom/details.htm?packageId=2516409162&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,The AshaPuri Residency Manali - Volvo Package
64142462f09e1d8dbe995b02,5,Manali (5N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1440397595/DSC_1171-Snowfall-Christ_Church-Shimla.jpg,6,5499,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-1791-37242&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Graceful Manali
64142462f09e1d8dbe995b03,4,Delhi (1N) - Agra (1N) - Jaipur (2N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1396180059/Domestic%20Holidays/Rajasthan/Jaipur/shutterstock_93873448.jpg,5,15999,https://packages.yatra.com/holidays/dom/details.htm?packageId=2547306062&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,4 Nights - Golden Triangle
64142462f09e1d8dbe995b04,3,Manali (3N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1441268144/Manali_town_103.jpg,4,5650,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-145-946&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Misty Manali
64142462f09e1d8dbe995b05,4,Munnar (2N) - Thekkady (1N) - Alleppey (1N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1461132516/Alleppey_Weather2.jpg,5,10999,https://packages.yatra.com/holidays/dom/details.htm?packageId=1378706229&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,4 nights -Munnar-Thekkady-Alleppey
64142462f09e1d8dbe995b06,2,Katra (2N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1505388578/Vaishno_Devi_Mandir2.jpg,3,3999,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-145-23922&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Vaishno Devi Darshan
64142462f09e1d8dbe995b07,3,Kathmandu (3N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1438930450/Kathmandu.jpg,4,7999,https://packages.yatra.com/holidays/dom/details.htm?packageId=2527375292&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,3 Nights in Kathmandu with Amadablam Hotel
64142462f09e1d8dbe995b08,4,Manali (4N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1438071942/Shimla_91.jpg,5,4999,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-1791-37527&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Mesmerising Manali With Atal Tunnel
